threshold,precision,recall,f1,false_positives,false_negatives
0.1,0.070467,0.908163,0.130786,1174,9
0.15,0.100225,0.908163,0.180527,799,9
0.2,0.130758,0.897959,0.228275,585,10
0.25,0.157509,0.877551,0.267081,460,12
0.3,0.195011,0.877551,0.319110,355,12
0.35,0.236264,0.877551,0.372294,278,12
0.4,0.273885,0.877551,0.417476,228,12
0.45,0.319703,0.877551,0.468665,183,12
0.5,0.370690,0.877551,0.521212,146,12
0.55,0.431472,0.867347,0.576271,112,13
0.6,0.474860,0.867347,0.613718,94,13
0.65,0.506024,0.857143,0.636364,82,14
0.7,0.552632,0.857143,0.672000,68,14
0.75,0.587413,0.857143,0.697095,59,14
0.8,0.608696,0.857143,0.711864,54,14
0.85,0.666667,0.857143,0.750000,42,14
0.9,0.741071,0.846939,0.790476,29,15
